Cereal,Manufacturer,Type,Calories,Protein,Fat,Sodium,Fiber,Carbohydrates,Sugars,Shelf,Potassium,Vitamins,Weight,Cups
Life,Q,C,100,4,2,150,2.0,12.0,6,2,95,25,1.0,0.67
Puffed Rice,Q,C,50,1,0,0,0.0,13.0,0,3,15,0,0.5,1.0
Puffed Wheat,Q,C,50,2,0,0,1.0,10.0,0,3,50,0,0.5,-1.0
Quaker Oat Squares,Q,C,100,4,1,135,2.0,14.0,6,3,110,25,1.0,0.5
Almond Delight,R,C,110,2,2,200,1.0,14.0,8,3,-1,25,1.0,0.75
Bran Chex,R,C,90,2,1,200,4.0,15.0,6,1,125,25,1.0,0.67
Corn Chex,R,C,110,2,0,280,0.0,22.0,3,1,25,25,1.0,1.0
Double Chex,R,C,100,2,0,190,1.0,18.0,5,3,80,25,1.0,0.75
"Muesli Raisins, Dates, & Almonds",R,C,150,4,3,95,3.0,16.0,11,3,170,25,-1.0,-1.0
"Muesli Raisins, Peaches, & Pecans",R,C,150,4,3,150,3.0,16.0,11,3,170,25,-1.0,-1.0
Rice Chex,R,C,110,1,0,240,0.0,23.0,2,1,30,25,1.0,1.13
Wheat Chex,R,C,100,3,1,230,3.0,17.0,3,1,115,25,1.0,0.67
Maypo,A,H,100,4,1,0,0.0,16.0,3,2,95,25,1.0,-1.0
Cream of Wheat (Quick),N,H,100,3,0,80,1.0,21.0,0,2,-1,0,1.0,1.0
Quaker Oatmeal,Q,H,100,5,2,0,2.7,-1.0,-1,1,110,0,1.0,0.67
